x_m,y_m,height_m
-2.070728137207034081e+00,-4.109116655578613120e+01,2.133260740867993555e+00
3.829271862792964498e+00,-4.109116655578613120e+01,2.109829540387414326e+00
2.765927186279296990e+01,-4.109116655578613120e+01,2.027253770146054901e+00
4.339271862792962509e+00,-4.109116655578613120e+01,2.016953547077224851e+00
1.277927186279296734e+01,-4.109116655578613120e+01,1.982003950509452661e+00
1.883927186279296251e+01,-4.109116655578613120e+01,1.935387073215377285e+00
2.670927186279296706e+01,-4.109116655578613120e+01,1.921121299025951190e+00
1.931927186279296649e+01,-4.109116655578613120e+01,1.902298629387776163e+00
-7.207281372070326597e-01,-4.109116655578613120e+01,1.865054283188808171e+00
2.795927186279296706e+01,-4.109116655578613120e+01,1.859851386846864685e+00
9.429271862792965919e+00,-4.109116655578613120e+01,1.845556103600615172e+00
1.360927186279296563e+01,-4.109116655578613120e+01,1.832363164917953924e+00
1.854927186279296336e+01,-4.109116655578613120e+01,1.792890719447983061e+00
1.792718627929659192e-01,-4.109116655578613120e+01,1.753250426022839870e+00
2.833927186279296251e+01,-4.109116655578613120e+01,1.734654098814666812e+00
5.899271862792964782e+00,-4.109116655578613120e+01,1.699469777923124036e+00
7.669271862792967909e+00,-4.109116655578613120e+01,1.691701220050371823e+00
-1.800728137207038060e+00,-4.109116655578613120e+01,1.682297717180286201e+00
5.809271862792961372e+00,-4.069116655578613262e+01,1.678930319652535141e+00
-1.310728137207036070e+00,-4.109116655578613120e+01,1.673124888570434399e+00
2.779271862792967340e+00,-4.109116655578613120e+01,1.667346320337444565e+00
-9.140728137207034365e+00,-4.109116655578613120e+01,1.653009811364814619e+00
1.179927186279296336e+01,-4.109116655578613120e+01,1.651245171581354310e+00
2.689927186279296478e+01,-4.062116655578613234e+01,1.644984962525785299e+00
-2.690728137207038628e+00,-4.109116655578613120e+01,1.640367901980896770e+00
2.375927186279296421e+01,-4.109116655578613120e+01,1.628593186724179631e+00
1.972927186279296308e+01,-4.109116655578613120e+01,1.613526086572647511e+00
1.369271862792963645e+00,-4.109116655578613120e+01,1.609873674471758109e+00
2.099271862792967625e+00,-4.109116655578613120e+01,1.608816366111680107e+00
5.389271862792966772e+00,-4.109116655578613120e+01,1.605847027441845931e+00
-5.570728137207034081e+00,-4.109116655578613120e+01,1.605202420420740905e+00
8.329271862792964498e+00,-4.109116655578613120e+01,1.596126864309603155e+00
2.717927186279296592e+01,-4.076116655578613290e+01,1.556277742336557024e+00
5.129271862792961656e+00,-4.042116655578613660e+01,1.554310362389436317e+00
1.229927186279296336e+01,-4.109116655578613120e+01,1.550509560157649736e+00
1.336927186279296365e+01,-4.087116655578613234e+01,1.539017869716335474e+00
6.769271862792962224e+00,-4.109116655578613120e+01,1.533919696278182920e+00
1.751927186279296222e+01,-4.109116655578613120e+01,1.520959510590941033e+00
-1.240728137207035786e+00,-4.083116655578613319e+01,1.517660868438420296e+00
6.651927186279297644e+01,-5.991166555786129777e+00,1.517530311214386307e+00
2.652927186279296023e+01,-4.046116655578613575e+01,1.516526825074260953e+00
-7.510728137207038912e+00,-4.109116655578613120e+01,1.510399695061640291e+00
6.663927186279295256e+01,-5.521166555786130914e+00,1.499635494102097955e+00
1.762927186279296166e+01,-5.621166555786132335e+00,1.494215520776202455e+00
8.549271862792963361e+00,-4.037116655578613234e+01,1.490699316963658649e+00
2.743927186279297104e+01,-4.047116655578613376e+01,1.488249491206271813e+00
2.193927186279297104e+01,-4.109116655578613120e+01,1.477406189055711305e+00
2.724927186279295910e+01,-4.109116655578613120e+01,1.469631319511320644e+00
2.765927186279296990e+01,-4.081116655578613717e+01,1.469353439124928773e+00
2.538927186279295967e+01,-4.109116655578613120e+01,1.468058935791567654e+00
6.319271862792966488e+00,-4.109116655578613120e+01,1.463616425162715728e+00
3.606927186279296649e+01,-3.432116655578613518e+01,1.462820110550720365e+00
1.536927186279296365e+01,-4.109116655578613120e+01,1.461156347391675325e+00
2.722927186279296308e+01,-4.055116655578613205e+01,1.459061053344127501e+00
-4.480728137207037776e+00,-4.109116655578613120e+01,1.458398649847154616e+00
5.409271862792962793e+00,-4.070116655578613063e+01,1.458080750659183300e+00
-2.340728137207037207e+00,-4.053116655578613603e+01,1.455325563176502746e+00
1.648927186279296819e+01,-4.109116655578613120e+01,1.454680132651845259e+00
1.847927186279296308e+01,-4.079116655578613404e+01,1.447463548460677929e+00
3.209271862792967056e+00,-4.109116655578613120e+01,1.443233033391641440e+00
1.032927186279296450e+01,-4.109116655578613120e+01,1.442758694159735233e+00
1.205927186279296137e+01,-4.109116655578613120e+01,1.437115569156776518e+00
2.683927186279296251e+01,-4.083116655578613319e+01,1.435812159576910663e+00
6.650927186279295711e+01,-1.021116655578613219e+01,1.431167970783149945e+00
-6.370728137207038344e+00,-4.109116655578613120e+01,1.429429399505155240e+00
2.652927186279296023e+01,-4.083116655578613319e+01,1.427726684880482155e+00
2.560927186279295853e+01,-4.076116655578613290e+01,1.424752084845011257e+00
5.789271862792965351e+00,-4.039116655578613546e+01,1.415855624792589751e+00
2.565927186279296990e+01,-4.109116655578613120e+01,1.413057426108528247e+00
1.305927186279296137e+01,-4.065116655578613347e+01,1.407040909548961993e+00
3.860927186279295853e+01,3.734883344421387363e+01,1.400613665823567500e+00
6.641927186279295370e+01,-1.232116655578613162e+01,1.398694642579174419e+00
2.600927186279296421e+01,-4.109116655578613120e+01,1.396015127894209673e+00
6.645927186279297416e+01,-1.160116655578613276e+01,1.395654488048859054e+00
1.802927186279296734e+01,-4.038116655578613035e+01,1.395461301470417137e+00
-3.680728137207033512e+00,-4.109116655578613120e+01,1.392727584658411066e+00
1.423927186279296819e+01,-4.109116655578613120e+01,1.392490890775137435e+00
3.609927186279296762e+01,-3.467116655578613660e+01,1.390275826385211078e+00
4.979271862792963077e+00,-4.109116655578613120e+01,1.388019607330284844e+00
2.636927186279296365e+01,-4.109116655578613120e+01,1.386794542741127678e+00
6.647927186279295597e+01,-1.213116655578613390e+01,1.385776360280046582e+00
2.515927186279296990e+01,-3.985116655578613631e+01,1.385537119395210404e+00
3.949271862792961940e+00,-4.045116655578613063e+01,1.381572431096218523e+00
5.459271862792967056e+00,-4.043116655578613461e+01,1.381077572062484604e+00
2.459927186279296762e+01,-4.109116655578613120e+01,1.380069001366092785e+00
3.489271862792968193e+00,-4.039116655578613546e+01,1.376325671599480716e+00
2.836927186279296365e+01,-4.068116655578613461e+01,1.373926204711729770e+00
2.624927186279295910e+01,-4.071116655578613575e+01,1.371711089181150589e+00
6.649927186279296620e+01,-1.139116655578613191e+01,1.367635743474219678e+00
6.648927186279297530e+01,-9.841166555786134751e+00,1.367573907669750621e+00
-4.400728137207032375e+00,-4.086116655578613432e+01,1.365970372499434315e+00
6.635927186279297985e+01,-1.285116655578613276e+01,1.365691197290390235e+00
1.516927186279296791e+01,-4.042116655578613660e+01,1.365485374683336639e+00
1.823927186279296819e+01,-4.022116655578613376e+01,1.364618970375948370e+00
3.828927186279296535e+01,3.722883344421386909e+01,1.363323616170463826e+00
4.399271862792964782e+00,-4.076116655578613290e+01,1.359850540555811449e+00
9.992718627929662034e-01,-4.109116655578613120e+01,1.358979970843989582e+00
8.419271862792967909e+00,-4.073116655578613177e+01,1.357844810920681988e+00
-7.990728137207035786e+00,-4.109116655578613120e+01,1.355351793991217191e+00
2.832927186279297160e+01,-3.403116655578613603e+01,1.355080626553548440e+00
6.648927186279297530e+01,-9.671166555786133046e+00,1.353766177312665464e+00
6.640927186279296279e+01,-1.198116655578613177e+01,1.346284636968357429e+00
6.642927186279297302e+01,-1.313116655578613390e+01,1.340414721163306400e+00
2.412927186279296876e+01,-4.055116655578613205e+01,1.338132300398980012e+00
6.642927186279297302e+01,-1.090116655578613347e+01,1.337694128232339352e+00
7.292718627929630770e-01,-3.740116655578613347e+01,1.336463428151600130e+00
3.605927186279296137e+01,-3.487116655578613234e+01,1.336016615819920927e+00
6.648927186279297530e+01,-1.119116655578613262e+01,1.335740730153137434e+00
2.661927186279296365e+01,-3.992116655578613660e+01,1.334469831721294630e+00
3.802927186279296023e+01,3.729883344421386226e+01,1.333724179283918954e+00
-8.030728137207034933e+00,-4.085116655578613631e+01,1.331897068314867205e+00
2.721927186279297217e+01,-3.989116655578613546e+01,1.327618701114953614e+00
2.142927186279296592e+01,-4.109116655578613120e+01,1.327598908863901750e+00
6.663927186279295256e+01,9.088334442138688019e-01,1.326407743184810695e+00
1.144927186279296194e+01,-4.109116655578613120e+01,1.326099651955502390e+00
3.036927186279296365e+01,-3.320116655578613063e+01,1.326047866636732131e+00
-3.407281372070372072e-01,-4.068116655578613461e+01,1.323362243305751029e+00
6.633927186279296961e+01,-1.379116655578613404e+01,1.323351530907331597e+00
2.336927186279296365e+01,-4.109116655578613120e+01,1.322969844805310213e+00
6.645927186279297416e+01,-1.266116655578613148e+01,1.322881938432281634e+00
3.937927186279296876e+01,3.729883344421386226e+01,1.320856788598954390e+00
-3.807281372070363545e-01,-4.109116655578613120e+01,1.318735665955266478e+00
2.012927186279296876e+01,-4.051116655578613290e+01,1.315725942340416621e+00
1.025927186279296421e+01,-4.074116655578613688e+01,1.315011860973483548e+00
3.717927186279296592e+01,3.728883344421387136e+01,1.314465512392968938e+00
4.719271862792965067e+00,-4.109116655578613120e+01,1.313990862225211886e+00
2.821927186279297217e+01,-4.069116655578613262e+01,1.312651348697647657e+00
1.890927186279296279e+01,-4.048116655578613177e+01,1.311607268531311377e+00
3.702927186279296023e+01,3.720883344421387307e+01,1.311499247663818979e+00
1.819927186279296194e+01,-4.109116655578613120e+01,1.310687000370765798e+00
3.553927186279296535e+01,-3.446116655578613575e+01,1.310318862805075479e+00
6.646927186279296507e+01,-1.064116655578613191e+01,1.308329023277964964e+00
6.649927186279296620e+01,-1.004116655578613404e+01,1.308175749124988796e+00
6.634927186279296052e+01,-1.328116655578613248e+01,1.306787413590303482e+00
2.419271862792967909e+00,-4.084116655578613120e+01,1.306265913427894221e+00
6.634927186279296052e+01,-1.495116655578613418e+01,1.304373415749083165e+00
1.919927186279296194e+01,-4.058116655578613319e+01,1.303397776505711647e+00
1.397927186279296308e+01,-4.109116655578613120e+01,1.303331236778165758e+00
4.469271862792965067e+00,-4.019116655578613262e+01,1.302822153578223174e+00
3.327927186279296023e+01,-3.330116655578613205e+01,1.302346441827900492e+00
4.749271862792966203e+00,-4.046116655578613575e+01,1.302321146261295803e+00
2.479271862792963077e+00,-4.046116655578613575e+01,1.301312349019390080e+00
4.779271862792967340e+00,-4.015116655578613347e+01,1.299989410197795570e+00
1.015927186279296279e+01,-4.041116655578613148e+01,1.299676169057292663e+00
-7.070728137207034081e+00,-4.109116655578613120e+01,1.298971656379120265e+00
1.292927186279296592e+01,-4.025116655578613489e+01,1.298961820038662118e+00
6.643927186279296393e+01,-9.351166555786132761e+00,1.298874552261979343e+00
-3.030728137207034933e+00,-4.109116655578613120e+01,1.298679294017364372e+00
6.620927186279297416e+01,-1.517116655578613305e+01,1.296711230434055784e+00
3.429927186279297047e+01,-3.466116655578613148e+01,1.296241373599028357e+00
4.219271862792965067e+00,-4.059116655578613120e+01,1.295278473556369825e+00
1.239927186279296478e+01,-4.079116655578613404e+01,1.294698702691205350e+00
1.694927186279296194e+01,-4.109116655578613120e+01,1.294478320986984121e+00
2.607927186279297160e+01,-4.015116655578613347e+01,1.293920232040635554e+00
3.957927186279297160e+01,3.718883344421386283e+01,1.293686752855511379e+00
2.741927186279296080e+01,-3.905116655578613205e+01,1.291764967027571487e+00
2.826927186279296933e+01,-3.670116655578613063e+01,1.290905518994148515e+00
3.149271862792964782e+00,-4.078116655578613603e+01,1.289401736647555419e+00
6.622927186279295597e+01,-1.448116655578613177e+01,1.289195611410590692e+00
6.637927186279296166e+01,-1.346116655578613219e+01,1.288335114988099273e+00
2.855927186279296137e+01,-4.041116655578613148e+01,1.285108975861606107e+00
1.156927186279296649e+01,-4.029116655578613404e+01,1.285102965779776341e+00
3.989927186279296478e+01,-3.121166555786132335e+00,1.284932362912845960e+00
2.556927186279296649e+01,-4.017116655578613660e+01,1.284798055036009856e+00
3.455927186279296137e+01,-3.494116655578613262e+01,1.284029069206804152e+00
6.617927186279297302e+01,-1.552116655578613447e+01,1.283690834199437969e+00
1.335927186279296563e+01,-4.046116655578613575e+01,1.282527595731379311e+00
2.026927186279296933e+01,-4.109116655578613120e+01,1.282070162080908737e+00
2.037927186279296876e+01,3.785883344421386454e+01,1.281319086666079743e+00
6.927186279296648763e-02,-4.069116655578613262e+01,1.281019003143829771e+00
8.799271862792963361e+00,-4.109116655578613120e+01,1.280214999058571168e+00
3.110927186279295853e+01,-3.390116655578613347e+01,1.280047674941483749e+00
3.359927186279296762e+01,3.749883344421386511e+01,1.278955172800107842e+00
1.385927186279296563e+01,-4.077116655578613091e+01,1.277286381883973476e+00
1.999927186279295910e+01,-4.091116655578613148e+01,1.277235878602721364e+00
6.663927186279295256e+01,1.798833444213869370e+00,1.275403990944614208e+00
3.079271862792964498e+00,-4.053116655578613603e+01,1.274290969837004184e+00
