tile_id,row_type,row_id,row_pos,plant_id,plant_coord,plant_x,plant_y,plant_height
0_0,Y,20,-21.80735122680664,52,-28.242851,-28.242851,-21.80735122680664,0.740598277365318
0_0,Y,14,-26.37658416748047,43,-29.46331,-29.46331,-26.37658416748047,0.7291987407895142
0_0,Y,2,-35.60503494262695,34,-26.393864,-26.393864,-35.60503494262695,0.7142259728280276
0_0,Y,17,-24.096966857910157,55,-27.924042,-27.924042,-24.096966857910157,0.7086834255538628
0_0,Y,16,-24.856839294433595,58,-25.542934,-25.542934,-24.856839294433595,0.7075860236715886
0_0,Y,16,-24.856839294433595,57,-25.802853,-25.802853,-24.856839294433595,0.703452403822444
0_0,X,1,-43.619992370605466,16,-21.840324,-43.619992370605466,-21.840324,0.7031579528630257
0_0,Y,16,-24.856839294433595,50,-27.56231,-27.56231,-24.856839294433595,0.7007565585384491
0_0,Y,14,-26.37658416748047,44,-28.8935,-28.8935,-26.37658416748047,0.7003584868330559
0_0,Y,19,-22.56722366333008,1,-43.58288,-43.58288,-22.56722366333008,0.6970416997529381
0_0,Y,15,-25.64670669555664,38,-30.77315,-30.77315,-25.64670669555664,0.6956478370018684
0_0,Y,15,-25.64670669555664,41,-29.323545,-29.323545,-25.64670669555664,0.6946332333484779
0_0,Y,17,-24.096966857910157,56,-27.50412,-27.50412,-24.096966857910157,0.6936813299679335
0_0,Y,14,-26.37658416748047,32,-33.91184,-33.91184,-26.37658416748047,0.6919066206143962
0_0,Y,14,-26.37658416748047,49,-26.714222,-26.714222,-26.37658416748047,0.6916045020456792
0_0,Y,19,-22.56722366333008,35,-34.084526,-34.084526,-22.56722366333008,0.6908951177029088
0_0,Y,15,-25.64670669555664,46,-27.99391,-27.99391,-25.64670669555664,0.6907047352869957
0_0,Y,20,-21.80735122680664,18,-38.368835,-38.368835,-21.80735122680664,0.6902511077589575
0_0,Y,16,-24.856839294433595,55,-26.46265,-26.46265,-24.856839294433595,0.6900360700466066
0_0,Y,15,-25.64670669555664,39,-30.47323,-30.47323,-25.64670669555664,0.6898424742231614
0_0,Y,14,-26.37658416748047,29,-34.951492,-34.951492,-26.37658416748047,0.6870747667364807
0_0,Y,16,-24.856839294433595,56,-26.112759,-26.112759,-24.856839294433595,0.6860788716731145
0_0,Y,14,-26.37658416748047,48,-27.364006,-27.364006,-26.37658416748047,0.6860728639304732
0_0,Y,19,-22.56722366333008,42,-31.784925,-31.784925,-22.56722366333008,0.685289752951345
0_0,Y,20,-21.80735122680664,35,-33.55075,-33.55075,-21.80735122680664,0.6850649572505512
0_0,Y,15,-25.64670669555664,44,-28.513767,-28.513767,-25.64670669555664,0.6848709700776372
0_0,Y,16,-24.856839294433595,18,-38.269005,-38.269005,-24.856839294433595,0.6823704245410981
0_0,Y,14,-26.37658416748047,8,-41.779236,-41.779236,-26.37658416748047,0.6807190307260772
0_0,Y,14,-26.37658416748047,7,-41.959175,-41.959175,-26.37658416748047,0.6805995156373831
0_0,Y,4,-34.085290069580076,31,-27.573462,-27.573462,-34.085290069580076,0.6799191146386538
0_0,Y,14,-26.37658416748047,33,-33.621933,-33.621933,-26.37658416748047,0.6797166753320967
0_0,Y,4,-34.085290069580076,32,-27.27356,-27.27356,-34.085290069580076,0.6789128986647239
0_0,X,1,-43.619992370605466,12,-23.818092,-43.619992370605466,-23.818092,0.678803401594019
0_0,Y,4,-34.085290069580076,38,-25.304193,-25.304193,-34.085290069580076,0.678389111349325
0_0,Y,19,-22.56722366333008,60,-26.1759,-26.1759,-22.56722366333008,0.6777432696184428
0_0,Y,14,-26.37658416748047,42,-29.823193,-29.823193,-26.37658416748047,0.6773545672363347
0_0,Y,17,-24.096966857910157,27,-36.212486,-36.212486,-24.096966857910157,0.6771849675355993
0_0,Y,15,-25.64670669555664,9,-40.870384,-40.870384,-25.64670669555664,0.6767928239088298
0_0,Y,20,-21.80735122680664,36,-33.25087,-33.25087,-21.80735122680664,0.6765357876983981
0_0,Y,9,-30.24593460083008,19,-37.08793,-37.08793,-30.24593460083008,0.6764120679262233
0_0,Y,18,-23.327096099853517,43,-31.474516,-31.474516,-23.327096099853517,0.6756937970969598
